user_name,province,month,month_name,season,crop_type,predicted_roi,investment_cost,growth_days,water_requirement,risk_level,user_budget,user_goal,user_experience
Somchai,เชียงใหม่,1,January,winter,คะน้า,1000.5118979350582,8000,45,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,กวางตุ้ง,999.6474791923894,5000,40,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,ผักบุ้ง,1000.1331979347965,5000,40,สูงมาก,ต่ำมาก,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,ผักกาดหอม,1000.7620498024103,6000,40,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,ผักกาดขาว,1000.671475859778,6500,50,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,สลัด,1000.7620498024103,7000,40,สูง,กลาง,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,ผักโขม,1000.6262162780989,5000,40,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,ผักชี,1000.6262162780989,5000,40,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,ต้นหอม,1000.1784575164755,5500,60,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,1,January,winter,ผักชีฝรั่ง,1000.5356423354666,5000,45,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,คะน้า,1000.1161311849571,8000,45,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,กวางตุ้ง,999.2517124422883,5000,40,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,ผักบุ้ง,999.7374311846954,5000,40,สูงมาก,ต่ำมาก,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,ผักกาดหอม,1000.3662830523092,6000,40,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,ผักกาดขาว,1000.2757091096769,6500,50,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,สลัด,1000.3662830523092,7000,40,สูง,กลาง,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,ผักโขม,1000.2304495279978,5000,40,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,ผักชี,1000.2304495279978,5000,40,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,ต้นหอม,999.7826907663745,5500,60,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,4,April,summer,ผักชีฝรั่ง,1000.1398755853655,5000,45,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,คะน้า,1000.5269517273346,8000,45,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,กวางตุ้ง,999.6625329846657,5000,40,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,ผักบุ้ง,1000.1482517270729,5000,40,สูงมาก,ต่ำมาก,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,ผักกาดหอม,1000.7771035946867,6000,40,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,ผักกาดขาว,1000.6865296520543,6500,50,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,สลัด,1000.7771035946867,7000,40,สูง,กลาง,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,ผักโขม,1000.6412700703753,5000,40,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,ผักชี,1000.6412700703753,5000,40,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,ต้นหอม,1000.1935113087519,5500,60,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,7,July,rainy,ผักชีฝรั่ง,1000.550696127743,5000,45,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,คะน้า,1000.9577391464617,8000,45,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,กวางตุ้ง,999.9436892426021,5000,40,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,ผักบุ้ง,1000.5790391462,5000,40,สูงมาก,ต่ำมาก,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,ผักกาดหอม,1001.2078910138138,6000,40,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,ผักกาดขาว,1001.1173170711814,6500,50,สูง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,สลัด,1001.2078910138138,7000,40,สูง,กลาง,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,ผักโขม,1001.0720574895024,5000,40,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,ผักชี,1001.0720574895024,5000,40,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,ต้นหอม,1000.624298727879,5500,60,ปานกลาง,ต่ำ,50000,profit,intermediate
Somchai,เชียงใหม่,10,October,rainy,ผักชีฝรั่ง,1000.9814835468701,5000,45,ปานกลาง,ต่ำ,50000,profit,intermediate
Malee,นครราชสีมา,1,January,winter,คะน้า,1000.5358183982996,8000,45,สูง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,กวางตุ้ง,999.6713996556308,5000,40,สูง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,ผักบุ้ง,1000.1571183980379,5000,40,สูงมาก,ต่ำมาก,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,ผักกาดหอม,1000.7859702656517,6000,40,สูง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,ผักกาดขาว,1000.6953963230194,6500,50,สูง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,สลัด,1000.7859702656517,7000,40,สูง,กลาง,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,ผักโขม,1000.6501367413404,5000,40,ปานกลาง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,ผักชี,1000.6501367413404,5000,40,ปานกลาง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,ต้นหอม,1000.202377979717,5500,60,ปานกลาง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,1,January,winter,ผักชีฝรั่ง,1000.559562798708,5000,45,ปานกลาง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,คะน้า,1000.1400516481986,8000,45,สูง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,กวางตุ้ง,999.2756329055297,5000,40,สูง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,ผักบุ้ง,999.7613516479369,5000,40,สูงมาก,ต่ำมาก,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,ผักกาดหอม,1000.3902035155506,6000,40,สูง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,ผักกาดขาว,1000.2996295729183,6500,50,สูง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,สลัด,1000.3902035155506,7000,40,สูง,กลาง,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,ผักโขม,1000.2543699912393,5000,40,ปานกลาง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,ผักชี,1000.2543699912393,5000,40,ปานกลาง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,ต้นหอม,999.8066112296159,5500,60,ปานกลาง,ต่ำ,30000,stability,beginner
Malee,นครราชสีมา,4,April,summer,ผักชีฝรั่ง,1000.163796048607,5000,45,ปานกลาง,ต่ำ,30000,stability,beginner
